feature,gain,pct
rolling_mean_28,172776530.31835175,71.05213316336558
rolling_mean_7,26569182.378253937,10.926235646143944
item_id,19855077.741226196,8.165146186459417
rolling_std_28,9074485.01084137,3.7317656292278345
days_since_last_sale,1660441.3188171387,0.68283520613111
month,1390319.4034004211,0.5717510312772214
wday_ratio_52w,1248868.9241981506,0.5135813350471653
price_rel_to_recent_avg,1244066.969367981,0.5116065926825106
is_weekend,982420.1170310974,0.4040076788730865
dept_id,853489.3225479126,0.3509865424861107
horizon,790882.8936500549,0.32524045119270967
event_name_1,760299.1579627991,0.31266328196330034
sell_price,713945.8539085388,0.29360107990288864
store_id,692945.4691925049,0.28496494090544366
recent_avg_price,675356.602432251,0.2777317449329377
lag_1,537418.9135818481,0.22100663870243767
wday,363917.57374191284,0.149656436915106
month_ratio,346880.47776794434,0.1426501496049662
days_since_first_listing,311149.2335243225,0.1279561334708727
cat_id,304328.080783844,0.12515102185096041
snap,283287.85608291626,0.11649849917046147
days_since_first_sale,258812.55501937866,0.10643334537222464
snap_lift,250573.1953201294,0.10304501432139704
zero_streak_length,247872.29879760742,0.10193430525098623
dom_ratio,234332.8391647339,0.09636637604774095
wday_ratio_13w,127902.49847793579,0.05259826283718459
lag_28,117350.64105606079,0.04825894674327715
lag_14,97762.81201553345,0.040203703158952435
weekend_lift,96656.17050552368,0.03974861102468835
rolling_std_7,92729.88068008423,0.03813397466753342
state_id,63652.56833648682,0.02617630272642365
lag_7,59909.671855926514,0.02463708453131665
year,54471.76549530029,0.02240081525242092
pre_listing,25391.276931762695,0.010441837131578684
event_type_1,5682.0413818359375,0.0023366666766491888
price_is_missing,280.52899169921875,0.00011536395156026835
event_name_2,0.0,0.0
event_type_2,0.0,0.0
