experiment,n_feat,RMSE,MAE,dRMSE,dMAE,high_vol_RMSE,train_s
Current best 32 features (reproducibility check),32,2.121042941194765,1.0319268155496617,0.0,0.0,5.97562357662713,112.3
+ A. Short-term demand dynamics (4 features),36,2.1232520610874115,1.031235378299994,0.002209119892646605,-0.0006914372496678034,5.987258494392271,120.8
+ B. Calendar expansion (2 features),34,2.1326906382221087,1.0325946206943721,0.011647697027343806,0.0006678051447104316,6.028508299914658,115.9
+ C. Price dynamics (3 features),35,2.128111626465847,1.030689932123697,0.007068685271081954,-0.0012368834259646189,6.01183818987883,115.7
+ D. Interactions (5 features),37,2.125565729160424,1.0314293291881953,0.004522787965659081,-0.0004974863614664038,5.997875772274395,120.5
+ All v2 groups (14 features),46,2.1320057757796596,1.0312636664480825,0.010962834584894665,-0.0006631491015791635,6.028043858925616,138.1
