level,lambda,prop_RMSE,equal_RMSE,shrunk_RMSE,alpha_star,prop_gain,shrunk_gain
L9_store_dept,0.0,2.0920004037475435,2.0920004037475435,2.0920004037475435,0.0,0.0,0.0
L9_store_dept,0.05,2.0894564326933676,2.091201687830356,2.0692892405849275,17.253854986103224,-0.0025439710541759197,-0.02271116316261601
L9_store_dept,0.1,2.087061476759689,2.090443648419296,2.0692892405849275,8.626927493051603,-0.004938926987854586,-0.02271116316261601
L9_store_dept,0.15,2.0848160494949686,2.089726323324365,2.0692892405849275,5.751284995367741,-0.007184354252574909,-0.02271116316261601
L9_store_dept,0.2,2.082720634529777,2.0890497038274636,2.0692892405849275,4.313463746525804,-0.009279769217766631,-0.02271116316261601
L9_store_dept,0.25,2.0807756850672923,2.0884136352948146,2.0692892405849275,3.4507709972206433,-0.011224718680251211,-0.02271116316261601
L9_store_dept,0.3,2.078981623402486,2.0878181512716636,2.0692892405849275,2.875642497683869,-0.013018780345057657,-0.02271116316261601
L9_store_dept,0.35,2.0773388404711555,2.087262908463214,2.0692892405849275,2.464836426586174,-0.014661563276388012,-0.02271116316261601
L9_store_dept,0.4,2.075847695429915,2.0867479121773265,2.0692892405849275,2.1567318732629017,-0.016152708317628495,-0.02271116316261601
L9_store_dept,0.45,2.0745085152681746,2.086273016900365,2.0692892405849275,1.9170949984559131,-0.01749188847936889,-0.02271116316261601
L9_store_dept,0.5,2.073321594453084,2.085838060492823,2.0692892405849275,1.7253854986103219,-0.01867880929445942,-0.02271116316261601
L9_store_dept,0.55,2.0722871946083203,2.0854426134137296,2.0692892405849275,1.5685322714639283,-0.019713209139223142,-0.02271116316261601
L9_store_dept,0.6,2.0714055442275425,2.085086307443732,2.0692892405849275,1.437821248841935,-0.020594859520000952,-0.02271116316261601
L9_store_dept,0.65,2.070676838423228,2.0847686196953146,2.0692892405849275,1.327219614315632,-0.021323565324315563,-0.02271116316261601
L9_store_dept,0.7,2.070101238711542,2.084489812298931,2.0692892405849275,1.232418213293087,-0.021899165036001644,-0.02271116316261601
L9_store_dept,0.75,2.0696788728337885,2.0842496060338918,2.0692892405849275,1.150256999073548,-0.022321530913754994,-0.02271116316261601
L9_store_dept,0.8,2.069409834614897,2.084047694864881,2.0692892405849275,1.0783659366314509,-0.022590569132646454,-0.02271116316261601
L9_store_dept,0.85,2.0692941838593186,2.0838837374199812,2.0692892405849275,1.014932646241366,-0.022706219888224854,-0.02271116316261601
L9_store_dept,0.9,2.0693319462845934,2.0837573382315453,2.0692892405849275,0.9585474992279566,-0.022668457462950098,-0.02271116316261601
L9_store_dept,0.95,2.069523113492768,2.083668608838994,2.069289240584927,0.9080976308475378,-0.022477290254775628,-0.022711163162616455
L9_store_dept,1.0,2.0698676429797267,2.0836175923394133,2.0692892405849275,0.8626927493051609,-0.022132760767816784,-0.02271116316261601
L10_item,0.0,2.0920004037475435,2.0920004037475435,2.0920004037475435,0.0,0.0,0.0
L10_item,0.05,2.06911197441464,2.074834110218027,1.863145768421421,18.4936855532789,-0.02288842933290347,-0.2288546353261225
L10_item,0.1,2.0472606276868697,2.0584157771480016,1.863145768421421,9.246842776639452,-0.04473977606067381,-0.2288546353261225
L10_item,0.15,2.0264799121413075,2.042762899764114,1.863145768421421,6.1645618510929685,-0.06552049160623596,-0.2288546353261225
L10_item,0.2,2.006803087642698,2.027892464913802,1.863145768421421,4.623421388319724,-0.08519731610484538,-0.2288546353261225
