model,file,RMSE,MAE,resid_corr_with_champion,optimal_w_champion_unclipped,optimal_w_champion,blend_RMSE,gain_vs_champion
recursive_onestep,opt_05_recursive_validation.csv,2.1181652407356837,1.0716887929297663,0.9528651648330706,0.5088940700631868,0.5088940700631868,2.091201864023048,-0.025122325834779247
team_style,model_08_team_style_validation.csv,2.1835420080271835,1.049834007332615,0.9439777828892095,0.7770283557198017,0.7770283557198017,2.1101879505927172,-0.006136239265110088
poisson_32feat,opt_06_obj_poisson_validation.csv,2.1379008189047717,1.0349839455676335,0.9761167545464129,0.7120140973043209,0.7120140973043209,2.1120782341309097,-0.004245955726917661
v2_all_46feat,opt_02_v2_all_validation.csv,2.1320057735171734,1.031263663988193,0.9800418799701273,0.6848716252419107,0.6848716252419107,2.112092584705557,-0.00423160515227039
hurdle_32feat,model_05_hurdle_validation.csv,2.1267433082163154,1.0323714401911632,0.9842282796163419,0.6557560993521491,0.6557560993521491,2.11234710887749,-0.003977080980337444
old_champ_32feat_tweedie1.1,model_04_tweedie_recency_listing_validation.csv,2.1210429427139523,1.0319268151267396,0.9905184043167078,0.6175425885985009,0.6175425885985009,2.1133827907285325,-0.0029413991292948083
v2_demand,opt_02_v2_A_demand_validation.csv,2.1232520607864607,1.0312353836855175,0.9893768983936183,0.653918876087,0.653918876087,2.113622588404473,-0.0027016014533542965
tweedie_1.5_32feat,opt_04b_power_1_5_primary_validation.csv,2.126337073600302,1.0288997595581688,0.9885513178142481,0.7059371389186176,0.7059371389186176,2.114215962729499,-0.002108227128328366
l2_32feat,opt_06_obj_l2_validation.csv,2.135125688270646,1.038832144555592,0.983551401395501,0.7683448909923617,0.7683448909923617,2.114435017179188,-0.001889172678639195
plain_lightgbm_l2,model_01_lightgbm_validation.csv,2.146661616875518,1.0410783958440708,0.9779457246370366,0.8211770719847781,0.8211770719847781,2.114802561936837,-0.0015216279209901984
v2_price,opt_02_v2_C_price_validation.csv,2.1281116314426387,1.0306899384224335,0.9902957125013082,0.7860647372400864,0.7860647372400864,2.1153783996458486,-0.0009457902119787143
yoy_36feat,exp_71_yoy_validation.csv,2.156405133962372,1.0344183991941152,0.9781724115981135,0.926814579910923,0.926814579910923,2.1160703048353042,-0.00025388502252310374
l1_32feat,opt_06_obj_l1_validation.csv,2.243183280999909,0.9591264555474863,0.9594150079990157,1.0078993108334966,1.0,2.1163241898578273,0.0
shape_36feat_tweedie1.1,exp_72_shape_validation.csv,2.1163241898578273,1.0298548393032845,1.0,1.0,1.0,2.1163241898578273,0.0
