level,n_groups,mean_group_size,agg_RMSE,agg_MAE,agg_WAPE,agg_bias,common_error_share_pct,oracle1_equal_RMSE,oracle1_gain,oracle2_prop_RMSE,oracle2_gain,oracle3_lsq_RMSE,oracle3_gain
L1_total,1,30490.0,1589.4663478206912,1246.5590499999923,0.02833631556044809,-246.51765571429522,0.062096096195135696,2.0913489804787195,-0.0006514232688239474,2.089633682592144,-0.002366721155399265,2.0265108675497596,-0.06548953619778386
L2_state,3,10163.333333333334,741.6478704198888,580.7128371428563,0.039601643106958746,-82.17255190475683,0.12514028410715478,2.090683338372173,-0.0013170653753706851,2.0858923567835985,-0.0061080469639449575,2.0185343024447437,-0.07346610130279974
L3_store,10,3049.0,305.9147688649539,233.0110485714287,0.0529672028083302,-24.651765571428236,0.23001836479353432,2.08955605851306,-0.002444345234483336,2.082045929965654,-0.009954473781889295,1.9935174194557872,-0.09848298429175628
L4_cat,3,10163.333333333334,848.6327649137709,555.3005147618975,0.037868652793878854,-82.17255190476511,0.12222560720333348,2.0907190834439477,-0.0012813203035957343,2.088013063979,-0.003987339768543485,1.988392669099766,-0.1036077346477775
L5_dept,7,4355.714285714285,474.54145991729945,325.81911959183856,0.05184479124247856,-35.21680795918544,0.26252696386267743,2.089245577596178,-0.0027548261513654637,2.087306328432338,-0.004694075315205382,1.9860426315959725,-0.10595777215157098
L6_state_cat,9,3387.777777777778,379.964031089124,251.389093333334,0.051430348281002014,-27.390850634919822,0.2321717104673859,2.089553398013377,-0.002447005734166563,2.0831112494836335,-0.008889154263910015,1.991456553707352,-0.1005438500401914
L7_state_dept,21,1451.904761904762,210.55196259084963,142.38328112244895,0.06796867687316724,-11.738935986394479,0.43685495091399423,2.087386617601543,-0.004613786146000276,2.0798094997536385,-0.012190903993904989,1.9718800041388642,-0.12012039960867926
L8_store_cat,30,1016.3333333333334,154.67778429511657,101.50115569047621,0.06921859283109429,-8.217255190476175,0.421433163048657,2.087504508630734,-0.0044958951168094785,2.0762629603920693,-0.015737443355474223,1.970945150930103,-0.12105525281744045
L9_store_dept,70,435.57142857142856,87.60212096419697,56.009048744897974,0.089122376965068,-3.52168079591838,0.7830202902415089,2.0836175923394133,-0.00838281140813013,2.0698676429797267,-0.022132760767816784,1.9508352447160278,-0.14116515903151572
L10_item,3049,10.0,8.565230751325693,4.213320694607131,0.2920199115577335,-0.08085196973246495,16.763110471346266,1.9055809750221346,-0.18641942872540884,1.8647565700865751,-0.22724383366096834,1.691557164153758,-0.4004432395937856
L11_item_state,9147,3.3333333333333335,4.202580501995815,2.138243936419435,0.44459692280339413,-0.026950656577488324,36.36218310600484,1.658925548637198,-0.4330748551103454,1.5765549255926603,-0.5154454781548832,1.4051861614877472,-0.6868142422597963
