window,seed,B_RMSE,B2_RMSE,B_MAE,B2_MAE,blend_AB_RMSE,blend_AB2_RMSE,blend_AB_MAE,blend_AB2_MAE,rho_A_B,rho_A_B2,blend_AB2_highvol,blend_AB_highvol,dRMSE_member,dRMSE_blend,dMAE_blend
autumn_2015,7,2.2249325115719234,2.205044376949871,1.067365821176969,1.0697984099910733,2.1564817913963097,2.1486695717370794,1.0153940477982852,1.0165512215230985,0.9300646156938245,0.9308546459906196,6.2574545102994845,6.2985463756459925,-0.019888134622052522,-0.007812219659230291,0.0011571737248132763
autumn_2015,202,2.2271706757219185,2.192995125406095,1.0720896035178904,1.0508953646274801,2.155523769871231,2.1462491985273418,1.0165685174124786,1.0102659099660038,0.9273912235820112,0.9326233382983095,6.251542401829238,6.296550675711982,-0.03417555031582342,-0.009274571343889093,-0.006302607446474706
christmas_2015,7,2.2113313040292026,2.2104372322929806,0.9941904765545871,0.9962024905839576,2.1565454104253168,2.1557315270730038,0.9452113143250327,0.9462428016734297,0.9359956529733628,0.9350422450225299,6.21762240269295,6.216337355532594,-0.0008940717362220241,-0.0008138833523130273,0.0010314873483969755
christmas_2015,202,2.2167412032335325,2.204336731419201,0.9958022807438953,0.9904320667168357,2.1570833855795044,2.155590368248037,0.9460041819372986,0.944455769681132,0.9334586963449963,0.9392947316114303,6.216405603852169,6.218886965744285,-0.012404471814331686,-0.001493017331467339,-0.0015484122561666425
