regime,champion,croston,sba,tsb,rolling_mean_28
smooth,4.166145140141681,4.512107928970395,4.498210207704367,4.564090059756124,4.619094147750408
erratic,5.395711416239738,5.532230536793706,5.512610585024662,5.591329732944585,5.717425440237537
intermittent,1.2789988660626495,1.3780650175285822,1.3740910299592286,1.3416723814132117,1.3625308291260292
lumpy,2.932565722456716,3.140738009968172,3.1343379727109455,3.021679805486492,3.0705806260144426
never sold,1.0428499585753432,1.2732339073875223,1.2510598572321878,1.0690449676496976,1.0690449676496976
ALL,2.0920004037475435,2.237980117641023,2.2317236798555102,2.2084427602338583,2.242952959753161
