objective,RMSE,MAE,dRMSE,dMAE,high_vol_RMSE,mean_pred_on_zero,train_s
Tweedie (power 1.1),2.121042941194765,1.0319268155496617,0.0,0.0,5.97562357662713,0.58485,134.4
L2 / squared error,2.135125693748313,1.0388321511579883,0.014082752553548072,0.006905335608326624,6.042947064281178,0.6006,76.8
Poisson (count data),2.137900822978115,1.0349839474394378,0.016857881783350237,0.003057131889776077,6.0568502811549525,0.59145,146.6
L1 / absolute error,2.2431832742268125,0.9591264683572768,0.12214033303204763,-0.07280034719238493,6.312405627146415,0.25091,189.7
