window,dates,direct_RMSE,direct_MAE,recursive_RMSE,recursive_MAE,resid_corr,blend_RMSE,blend_MAE,dRMSE,dMAE,blend_highvol_RMSE,direct_highvol_RMSE,highvol_dRMSE,predicted_blend_RMSE
primary_spring_2016,2016-04-25 .. 2016-05-22,2.121086373183825,1.0293068303162178,2.1185695636139146,1.0718928349874108,0.9496278873923297,2.092000401958589,1.0440809121154488,-0.02908597122523604,0.01477408179923101,5.854846364881678,5.978722690861754,-0.12387632598007592,2.092000401958589
christmas_2015,2015-12-12 .. 2016-01-08,2.177370014007361,0.9218191321969065,2.2130390504892636,0.9930433100251291,0.9393848029012084,2.161136974755453,0.9517783280619697,-0.016233039251907666,0.029959195865063237,6.233889835323873,6.3055260676353315,-0.07163623231145877,2.161136974755453
summer_2015,2015-07-16 .. 2015-08-12,2.1261555241993455,0.9684640791508011,2.1423584461763876,1.0396294465462463,0.954588445023632,2.108506101179553,0.9976734005693144,-0.017649423019792554,0.02920932141851329,6.186367967705908,6.25993681419644,-0.07356884649053175,2.108506101179553
autumn_2015,2015-10-02 .. 2015-10-29,2.176982396533208,0.9936912824232401,2.2245439093264543,1.0687466310052083,0.932274772126762,2.1606037625163004,1.0228075097085747,-0.016378634016907423,0.029116227285334584,6.310697649700676,6.376662630181694,-0.06596498048101829,2.1606037625163004
