window,pair,w,RMSE,MAE,dRMSE_vs_A,dMAE_vs_A
primary_spring_2016,AB,0.65,2.0949021049575487,1.0382158948398155,-0.026184268226276508,0.008909064523597632
primary_spring_2016,AB2,0.6,2.0929394037324487,1.0395171989061582,-0.028146969451376513,0.0102103685899404
christmas_2015,AB,0.65,2.15879788148923,0.9415533800071403,-0.018572132518130946,0.019734247810233807
christmas_2015,AB2,0.6,2.1546855329086485,0.9445680862909488,-0.02268448109871235,0.022748954094042317
summer_2015,AB,0.65,2.108379108919643,0.9875073951478699,-0.01777641527970264,0.019043315997068766
summer_2015,AB2,0.6,2.1074439013473136,0.9908828342994984,-0.018711622852031873,0.02241875514869729
autumn_2015,AB,0.65,2.156993628558021,1.0123225865944072,-0.019988767975186672,0.018631304171167096
autumn_2015,AB2,0.6,2.149614645131346,1.012567346306548,-0.027367751401861984,0.01887606388330798
