horizon_day,recursive_RMSE,direct_RMSE,recursive_MAE,direct_MAE,recursive_mean_pred,gap_RMSE
1,1.799895130719963,1.8329090741143959,0.8994531274040339,0.9149116251229911,1.246289516206076,-0.033013943394432754
2,1.6479155028778731,1.6749192849016274,0.8923770347704932,0.8660437766480814,1.2194956429322246,-0.027003782023754308
3,1.7407801759255226,1.7446097869498995,0.9050676007942017,0.8813586267628731,1.2112823450107468,-0.0038296110243769554
4,1.703395983709597,1.7093041247660474,0.9133623206105211,0.8863047733683176,1.2350602688918295,-0.005908141056450322
5,1.9073944906076088,1.944798425091245,1.011633652288714,0.988116448999672,1.4148480508193595,-0.0374039344836361
6,2.1052923953350318,2.116576937166167,1.1246202389949813,1.1028610455887176,1.7132236422334124,-0.011284541831135364
7,2.20693945836886,2.181166438944775,1.1799512838676802,1.1412679954083307,1.8371908469528477,0.025773019424085053
8,2.029936368476062,2.0067175976521554,1.0456602398213146,1.0124107710724828,1.4733119343859078,0.023218770823906443
9,2.1655508825470897,2.193682129192602,1.054634611289526,1.0204217563135456,1.4208670170341828,-0.028131246645512142
10,2.081738857263608,2.077383890293362,1.0068738748026098,0.9730966644801573,1.301733498374035,0.004354966970246288
11,2.0305258811118803,2.014979837935064,1.0300081236941079,0.9954276530009839,1.4000343443245546,0.015546043176816404
12,2.325686548412723,2.3654126357687946,1.1093669957633114,1.0652586602164644,1.6195992683013025,-0.03972608735607164
13,2.4745672958368807,2.524721833575403,1.2349458301855563,1.1959582689406363,1.8510542119088447,-0.05015453773852219
14,2.2007531308805555,2.195129873784992,1.1070569988737342,1.0716213706133157,1.5457942186351192,0.005623257095563439
15,2.2241568163636765,2.284000282773779,1.102551584025254,1.068128687110528,1.5414218588228168,-0.05984346641010241
16,1.964167778769012,1.9713760381278114,1.010831825337395,0.978636183666776,1.3150814847414705,-0.007208259358799429
17,2.1521780577768017,2.209932725794315,1.0426517771035384,1.0111230865857659,1.3675628099283297,-0.05775466801751339
18,2.028585330610577,1.9993563444517994,1.0313563415559526,0.9915234657264677,1.3965319673469647,0.02922898615877778
19,2.1048134248361685,2.1081595310075696,1.093407700082069,1.050797272876353,1.5004569775367087,-0.0033461061714010754
20,2.479266745554396,2.5126606658546753,1.237374173825759,1.1888962673007544,1.8530229354558003,-0.03339392030027932
21,2.7853571167637643,2.7976709725343265,1.3227389237303524,1.2758513496228272,1.9323913826151966,-0.01231385577056221
22,2.108646255384097,2.0768097639040697,1.0664912703975349,1.0182262541816989,1.4095910386392876,0.031836491480027096
23,1.944567702669144,1.9182723985323538,1.0095772438656785,0.9611860095113153,1.297213829080842,0.026295304136790154
24,1.906014057654057,1.8592094453442713,0.9836199202249379,0.9351948150213185,1.2934385066096876,0.04680461230978561
25,1.9412027128543707,1.8622650950338004,0.9912045356391185,0.9321960278779928,1.304999945609564,0.0789376178205703
26,2.002539267362105,1.992543253856621,1.0779221966079706,1.0132297612331913,1.5074715566190302,0.009996013505483958
27,2.3924753993239154,2.34831399958544,1.2501978045809312,1.1607099891767791,1.8481507557347867,0.04416139973847555
28,2.4299695382020468,2.4172160272937404,1.2723490215295419,1.1931922171203673,1.8482861951736147,0.012753510908306342
