window,model,origin_day,dates,RMSE,MAE,high_vol_RMSE
primary_spring_2016,tweedie_1_1,d_1913,2016-04-25 .. 2016-05-22,2.121042941194765,1.0319268155496617,5.97562357662713
primary_spring_2016,tweedie_1_5,d_1913,2016-04-25 .. 2016-05-22,2.1263370733297697,1.0288997600226182,5.993063538622104
primary_spring_2016,l1,d_1913,2016-04-25 .. 2016-05-22,2.2431832742268125,0.9591264683572768,6.312405627146415
christmas_2015,tweedie_1_1,d_1778,2015-12-12 .. 2016-01-08,2.185109424374179,0.9230677653072191,6.33099699217288
christmas_2015,tweedie_1_5,d_1778,2015-12-12 .. 2016-01-08,2.1730972081535964,0.9165886297809633,6.266383728839216
christmas_2015,l1,d_1778,2015-12-12 .. 2016-01-08,2.300461978014901,0.8502790784609183,6.665212638329477
summer_2015,tweedie_1_1,d_1629,2015-07-16 .. 2015-08-12,2.140473558742499,0.9745898127678265,6.31880410770941
summer_2015,tweedie_1_5,d_1629,2015-07-16 .. 2015-08-12,2.157254914568753,0.9682996881429687,6.394229231604862
summer_2015,l1,d_1629,2015-07-16 .. 2015-08-12,2.2947586260041977,0.8925728746094931,6.835689822478349
autumn_2015,tweedie_1_1,d_1707,2015-10-02 .. 2015-10-29,2.186935410610097,0.9977225108698545,6.419846969152098
autumn_2015,tweedie_1_5,d_1707,2015-10-02 .. 2015-10-29,2.1732542453271986,0.9929258864488392,6.352671131774772
autumn_2015,l1,d_1707,2015-10-02 .. 2015-10-29,2.308667731585882,0.9251062983991091,6.7519136457643025
