experiment,RMSE,MAE,dRMSE,dMAE,high_vol_RMSE,high_vol_bias
current best (reference),2.121042941194765,1.0319268155496617,0.0,0.0,5.9756,-0.389
volume weight cap 3.0x,2.1375913119640764,1.0335581589574836,0.016548370769311482,0.0016313434078218947,6.053047344119791,-0.47704927889017457
volume weight cap 5.0x,2.137132606002145,1.033537116565808,0.016089664807380277,0.0016103010161463427,6.048364468831469,-0.5054318900975081
high-vol calibration x1.00,2.1210429427139523,1.0319268151267396,1.5191874425113383e-09,-4.2292214175176923e-10,5.975623582817357,-0.38907541459495515
