level,alpha,RMSE,MAE,highvol_RMSE,agg_bottom_up_RMSE,agg_model_RMSE,n_groups,dRMSE,dMAE
item,0.25,2.05618801895152,1.023995582603895,5.7973469435500355,8.380676225871765,8.176114472165997,3049,-0.011499436606921876,-0.0054190164285747855
item,0.3,2.0547334630344225,1.0230638354524508,5.7913299185389935,8.380676225871765,8.176114472165997,3049,-0.012953992524019409,-0.006350763580018848
item,0.35,2.053562351994999,1.0221947651178442,5.786401600348648,8.380676225871765,8.176114472165997,3049,-0.014125103563443098,-0.00721983391462544
item,0.4,2.0526751709740103,1.0213742203972738,5.782564772602767,8.380676225871765,8.176114472165997,3049,-0.015012284584431601,-0.00804037863519591
item,0.45,2.052072288229457,1.020606394502188,5.779821608999035,8.380676225871765,8.176114472165997,3049,-0.015615167328984825,-0.008808204530281749
item,0.5,2.051753954374044,1.0198908489239673,5.778173667174991,8.380676225871765,8.176114472165997,3049,-0.015933501184397958,-0.009523750108502371
item,0.55,2.051720301854988,1.0192207249399807,5.777621884295766,8.380676225871765,8.176114472165997,3049,-0.015967153703453807,-0.010193874092488953
item,0.6,2.0519713446786896,1.0186044993832581,5.77816657439268,8.380676225871765,8.176114472165997,3049,-0.015716110879752332,-0.010810099649211535
item,0.65,2.0525069783815995,1.0180398292720296,5.779807427470304,8.380676225871765,8.176114472165997,3049,-0.015180477176842455,-0.011374769760440051
item,0.7,2.0533269802474243,1.0175210124456304,5.782543510387928,8.380676225871765,8.176114472165997,3049,-0.014360475311017584,-0.011893586586839255
item,0.75,2.0544310097696146,1.017056452309523,5.7863732695095615,8.380676225871765,8.176114472165997,3049,-0.013256445788827342,-0.012358146722946772
item,0.8,2.0558186093569004,1.0166499933818003,5.791294535104962,8.380676225871765,8.176114472165997,3049,-0.011868846201541494,-0.012764605650669392
item,0.85,2.0574892052784692,1.0163007924586802,5.7973045274726624,8.380676225871765,8.176114472165997,3049,-0.010198250279972676,-0.013113806573789466
item,0.9,2.0594421088442534,1.016007269611016,5.804399864744849,8.380676225871765,8.176114472165997,3049,-0.008245346714188528,-0.013407329421453618
item,0.95,2.0616765178146768,1.0157655651748867,5.8125765723232945,8.380676225871765,8.176114472165997,3049,-0.0060109377437651546,-0.013649033857582982
item,1.0,2.064191518033195,1.0155715133563679,5.821830093885411,8.380676225871765,8.176114472165997,3049,-0.003495937525246795,-0.013843085676101818
item_state,0.0,2.067687455558442,1.0294145990324697,5.843623668722869,4.158255182713015,4.137774925553588,9147,0.0,0.0
item_state,0.05,2.065070254750919,1.0282847223300888,5.833777489066154,4.158255182713015,4.137774925553588,9147,-0.0026172008075229236,-0.0011298767023808498
item_state,0.1,2.062727915044635,1.0272128855210145,5.824955429392415,4.158255182713015,4.137774925553588,9147,-0.0049595405138069815,-0.00220171351145515
item_state,0.15,2.060661373738012,1.026205682205753,5.817162149113399,4.158255182713015,4.137774925553588,9147,-0.0070260818204297415,-0.0032089168267166457
item_state,0.2,2.0588714613086845,1.0252657989063125,5.810401787823572,4.158255182713015,4.137774925553588,9147,-0.00881599424975743,-0.004148800126157148
item_state,0.25,2.0573588997622574,1.0243931753169058,5.804677954460987,4.158255182713015,4.137774925553588,9147,-0.010328555796184524,-0.005021423715563911
item_state,0.3,2.056124301187712,1.0235868360337514,5.7999937177779515,4.158255182713015,4.137774925553588,9147,-0.011563154370729745,-0.005827762998718233
item_state,0.35,2.055168166526143,1.0228456328912892,5.7963515981795215,4.158255182713015,4.137774925553588,9147,-0.012519289032298708,-0.006568966141180521
item_state,0.4,2.054490884558577,1.0221699018103474,5.793753560980065,4.158255182713015,4.137774925553588,9147,-0.013196570999864932,-0.007244697222122287
item_state,0.45,2.0540927311176147,1.0215584788645116,5.792201011119723,4.158255182713015,4.137774925553588,9147,-0.01359472444082721,-0.007856120167958114
item_state,0.5,2.0539738685266276,1.0210150739724897,5.791694789373816,4.158255182713015,4.137774925553588,9147,-0.013713587031814356,-0.008399525059979984
item_state,0.55,2.0541343452691554,1.0205377289236714,5.792235170078953,4.158255182713015,4.137774925553588,9147,-0.013553110289286519,-0.00887687010879823
item_state,0.6,2.054574095890076,1.0201243538748141,5.793821860390218,4.158255182713015,4.137774925553588,9147,-0.01311335966836591,-0.00929024515765553
item_state,0.65,2.055292941129023,1.0197697190056312,5.796454001074095,4.158255182713015,4.137774925553588,9147,-0.012394514429419079,-0.009644880026838498
item_state,0.7,2.056290588285405,1.0194864527837928,5.800130168832117,4.158255182713015,4.137774925553588,9147,-0.011396867273036904,-0.009928146248676883
item_state,0.75,2.0575666318133092,1.0192690597540497,5.804848380140637,4.158255182713015,4.137774925553588,9147,-0.010120823745132679,-0.01014553927841999
item_state,0.8,2.059120554143462,1.0191163517493524,5.810606096582571,4.158255182713015,4.137774925553588,9147,-0.008566901414980066,-0.010298247283117234
item_state,0.85,2.0609517267283755,1.0190253610499171,5.817400231637841,4.158255182713015,4.137774925553588,9147,-0.006735728830066456,-0.010389237982552535
item_state,0.9,2.0630594113057787,1.018989684038911,5.825227158890351,4.158255182713015,4.137774925553588,9147,-0.004628044252663166,-0.010424914993558687
item_state,0.95,2.065442761374448,1.019017626667829,5.834082721601038,4.158255182713015,4.137774925553588,9147,-0.0022446941839939782,-0.010396972364640655
item_state,1.0,2.0681008238756022,1.019108537400929,5.843962243588685,4.158255182713015,4.137774925553588,9147,0.0004133683171603231,-0.010306061631540686
