rung,label,groups,n_features,RMSE,MAE,d_RMSE,d_MAE,train_seconds
abl_1_calendar,A. Calendar only,A,9,3.6393463776540016,1.6591445961119013,,,50.5
abl_2_calendar_demand,B. Calendar + Historical demand,AB,17,2.1584172926139122,1.0500194087525772,-1.4809290850400894,-0.6091251873593242,72.8
abl_3_plus_recency,C. + Recency,ABC,20,2.161435253451124,1.0548649834110526,0.0030179608372118416,0.00484557465847546,71.1
abl_4_plus_price,D. + Price,ABCE,24,2.141776999053827,1.0460895872743867,-0.01965825439729718,-0.008775396136665892,73.7
abl_5_plus_listing,E. + Listing-aware,ABCDE,26,2.1537490496304863,1.049428835469364,0.011972050576659399,0.003339248194977218,76.1
abl_6_plus_hierarchy,F. + Hierarchy,ABCDEF,31,2.137385190389123,1.03238201412785,-0.01636385924136352,-0.01704682134151403,116.2
abl_7_full,G. Full feature set (+ horizon),ABCDEFG,32,2.121042941194765,1.0319268155496617,-0.016342249194357894,-0.0004551985781882095,118.5
