decile,n,actual_mean,pred_mean,RMSE,MAE,bias,sq_err_share_pct
1,85428,0.19556820392608643,0.20288564603656287,0.5589284726905286,0.30300081552020774,0.007317448255975703,0.7136478173710679
2,85400,0.2954918146133423,0.29655375869091477,0.644250835256356,0.41303022060854033,0.001061955412226266,0.9478488478056543
3,85288,0.39521387219429016,0.39756484295226907,0.7633221299112933,0.5112152941087879,0.0023509793372235594,1.328846670181565
4,85792,0.5293034315109253,0.5322246896307806,0.9035801986198797,0.6191655779967075,0.002921258075390921,1.8730589143539316
5,85232,0.6684813499450684,0.6602998016188403,1.041115131596873,0.7192838745871584,-0.008181519950523347,2.470423624691879
6,85204,0.8454180359840393,0.8447352405306281,1.1964506582966397,0.8328992090978952,-0.0006828149597244072,3.2615256994338293
7,85428,1.0739452838897705,1.0862687841416272,1.3654516491539972,0.960176277923199,0.012323473470652718,4.259161684312834
8,85204,1.5055396556854248,1.4757248599589097,1.74481287633262,1.1828562152923427,-0.029814786067098448,6.936317020596948
9,85400,2.302166223526001,2.2758143094255066,2.3161460930070654,1.5678499747222987,-0.026351966921097657,12.25070282075879
10,85344,6.621062755584717,6.436041985268766,5.376048297250161,3.2878978016055718,-0.18502100685721967,65.9584669004935
